timestamp,Reserve Symbol,Name,decimals,price (ETH),usageAsCollateralEnabled,LTV,Liquidation Threshold,Liquidation Bonus,optimal Utilisation Rate,utilization Rate,total Liquidity,total AToken Supply,total Liquidity As Collateral,available Liquidity,total Principal Stable Debt,total ScaledVariable Debt,total Current Variable Debt,reserve Factor,liquidity Rate,stable Borrow Rate,average Stable Rate,variable Borrow Rate
1614643223,TUSD,TrueUSD,18,637900000000000,True,7500,8000,10500,800000000000000000000000000,0.82250597,16884750888503766133443812,16981103002920965029909315,505060957209300635225446,2996942389193023440722021,11909455441766694756546980,1916962340530986267146468,2061952238990487719912189,1000,67861633695773435088418037,178592356823426054018789355,85135070647832381333292713,128592356823426054018789355
1614643223,GUSD,Gemini dollar,2,637353714154156,False,0,0,0,800000000000000000000000000,0.81521029,678198853,683355730,385043340,125324168,0,548504166,558035165,0,100466011476587312520102802,163028781872215975134709985,0,123028781872215975134709985
1614643223,YFI,yearn.finance,18,22129568210000000000,True,4000,5500,11500,450000000000000000000000000,0.01855002,804835433775140121113,805857225038361690141,356844674578794527663,789905715235277916136,0,15841862914982267470,15951950462734284216,2000,48763370400930588582198,4398925301695073192575945,0,3079247711186551234803162
1614643223,BAT,Basic Attention Token,18,378165199666583,True,7000,7500,11000,450000000000000000000000000,0.1048885,2033136886972157090826766,2034034101247930260427833,1106235855349715225241761,1819884198365218737240701,8455283644672505881235,204383679400058080278093,205504784309804659368840,2000,1511501595386982499896802,53388836877298002685648030,56312661888649356323980613,16372185814108601879953620
1614643223,MANA,Decentraland MANA,18,166661309660327,True,6000,6500,11000,450000000000000000000000000,0.01921296,6752294074578876383364135,6760661366195916006327131,648126829269963144772556,6622562516086593838158394,11880948852309085946636,125590337030708014406256,126094477603137764718520,3500,74407326422100160850069,34535687318583754973184606,31412439791721405575362074,3174981123008628481229224
1614643223,UNI,Uniswap,18,16267460000000000,True,6000,6500,11000,450000000000000000000000000,0.02835159,1226197096338975442426405,1226367697147416021155968,-141393522995846728646091,1191432448290516138038536,1533265091599495689,34852890171078275179172,34933717115248608490265,2000,100982215521104711435302,7596485420659514293944968,113977414605081642318524,4431283162051383338134564
1614643223,WBTC,Wrapped BTC,8,31822685170000000000,True,7000,7500,11000,650000000000000000000000000,0.03810032,511063695605,511170500789,520934306479,491592002334,2320163491,17170872268,17231034888,2000,288820028461855220948903,35884823858214045074206511,44561169716144759817703726,4707859086571236059365209
1614643223,REN,Republic Token,18,726900000000000,True,5500,6000,11000,450000000000000000000000000,0.25551098,11051544490986126632128531,11063610192158520272122550,-558980524941832392499906,8227753507472848561467739,627793795040382996210977,2190347838722626821093389,2205954363800411492348578,2000,6753542117150311025501675,56932290490882817067147337,8698436609567445093075353,39852603343617971947003136
1614643223,BUSD,Binance USD,18,638390000000000,False,0,0,0,800000000000000000000000000,0.78011215,11932384777668173541890323,12113291753554007917378024,3141274456608037352109433,2623786357451458620480404,0,9195530022301360945089659,9489571975695386373918712,1000,27643063473178459325847508,0,0,39188336893901409949274160
1614643223,LINK,ChainLink Token,18,17630900000000000,True,7000,7500,11000,450000000000000000000000000,0.02419492,13988784244623167757866633,13989182983692730043173623,4101819351649204221163215,13650326662360318659905204,6735643710328867714032,331736995293791789873869,332039788742218115162912,2000,84807211528067673144685,35381628451451897598886968,34446481235790246967474597,3767139916016328319220878
1614643223,SUSD,Synth sUSD,18,655030000000000,False,0,0,0,800000000000000000000000000,0.62659544,5990755856491813863098633,6096424109059431617752873,4594398815324072770568638,2236975515011282610157034,0,3699856341500136080041725,3859499413358704602812404,2000,16034554084240007061756456,0,0,31656904938180555514478354
1614643223,DAI,Dai Stablecoin,18,643513365997700,True,7500,8000,10500,800000000000000000000000000,0.8136156,89649390323873349417690275,90574932204740055853732194,695273737776832904420826183,16709289845347458964669611,53818385467033769463940979,19085941220415756292355417,19818020766680585539075559,1000,76453544388172532656610659,146848257367963694160214376,106921901516821499728573744,96848257367963694160214376
1614643223,AAVE,Aave Token,18,244478923887369250,True,5000,6500,11000,450000000000000000000000000,-0.00000452,1903503972445297398082221,1903512581293057619058304,1443502028135066689768729,1903512581293057619058304,0,0,0,0,0,0,0,0
1614643223,XSUSHI,SushiBar,18,13271800225120897,True,2500,4500,11500,450000000000000000000000000,0.00052242,13553191051541593170492611,13553191073633972581979028,7611713823966480409731824,13546110474998416173629739,0,7080577137494958774800,7080598021255077615620,3500,27596608723665292838,0,0,81266946648863957734693
1614643223,MKR,Maker,18,1384600000000000000,True,6000,6500,11000,450000000000000000000000000,0.18051677,14209842293025923263319,14211526482443380341420,191656517764177696457,11644727430105881263108,2500000079057798346008,65718404399628215322,66034932327976458469,2000,4489684376072360614889101,70135083258843316488070179,31152090025049607192724445,28094558281190321541649124
1614643223,USDC,USD Coin,6,638135389608871,True,8000,8500,10500,900000000000000000000000000,0.88397743,261917306927424,263712693149839,197505466917601,30388319074081,140600066052666,89270324889987,92292034767065,1000,57202403081080468421824560,89659309376751748312997438,93194305332899236661251132,39318618753503496625994876
1614643223,BAL,Balancer,18,24488000000000003,True,5500,6000,11000,450000000000000000000000000,0.36814375,144255602115130935555140,144465190607691580791013,14677013227428372202489,91148803251305371541784,0,53044669902214236894741,53316506914018714780936,2000,16950079574204961283251117,112013547986024461574128131,0,57409483590217123101889691
1614643223,SNX,Synthetix Network Token,18,13285400000000000,True,1500,4000,11000,800000000000000000000000000,0.39463523,533221016073347479202834,535263903931018191075114,162625939729088418552191,322793216455280360677473,0,208079029654901889164447,212463538304649019413820,3500,23103383330060144264467070,0,0,89542269882561589971862256
1614643223,WETH,WEthereum,18,1000000000000000000,True,8000,8250,10500,650000000000000000000000000,0.12263063,218264348782605344285792,219422635812780703890883,920122859444679859877305,191498452195206284375330,770906798871220155053,27036289336831554665679,27148413375295548583229,1000,1924848517223808826819351,49576175817777867968660502,57198309778328750558252004,15660940654222294374928402
1614643223,CRV,Curve DAO Token,18,1277161998210014,True,4000,5500,11500,450000000000000000000000000,0.33607713,8658267332711508882608418,9043963885035435668133296,6471892374918171382277786,5748421687787203854500322,0,3148974276488050291507485,3295776227473376922316731,0,20657017212910125321586833,110980141035896514288564738,0,56686098725127560001995318
1614643223,USDT,Tether USD,6,642745509565841,False,0,0,0,900000000000000000000000000,0.90360051,105685675774937,106714260057098,59189632986359,10188044984930,65194710299311,29724391949405,31134853045938,1000,69826087835615578820242029,117198501221013118726485522,94643623667191902562648479,67198501221013118726485522
1614643223,KNC,Kyber Network Crystal,18,1078630400436606,True,6000,6500,11000,650000000000000000000000000,0.44666907,775002374493334741961096,775320335951100173831741,203827021941203456159432,428832781613973384336515,2355590355633331074388,341867640504598992100093,344034696750876112794669,2000,19775786532881869262805114,98752680152068863511352797,100960473233140323479813439,55002144121655090809082238
1614643223,ZRX,0x Protocol Token,18,856080000000000,True,6000,6500,11000,450000000000000000000000000,0.0107178,2010198487223040979785109,2010279955901072863423967,121228894251935669044109,1988653580450081314612563,2185810382644422051012,19374713283583023790432,19421659937971837294526,2000,61891968187030649749232,32388586663950515195052229,56292511130286954616966464,1672010664765360636536560
1614643223,ENJ,Enjin Coin,18,445840000000000,True,5500,6000,11000,450000000000000000000000000,0.01415951,4044537285084391485351781,4045298931341431152161345,2130969514893944715048626,3987268598735545794324708,54549114201576727892978,3435329277326979447796,3441636110647153162661,2000,58001765295296201141705,3185680211131274014259284,5235904467197161327674479,2229976147791891809981498
