timestamp,Reserve Symbol,Name,decimals,price (ETH),usageAsCollateralEnabled,LTV,Liquidation Threshold,Liquidation Bonus,optimal Utilisation Rate,utilization Rate,total Liquidity,total AToken Supply,total Liquidity As Collateral,available Liquidity,total Principal Stable Debt,total ScaledVariable Debt,total Current Variable Debt,reserve Factor,liquidity Rate,stable Borrow Rate,average Stable Rate,variable Borrow Rate
1614988829,TUSD,TrueUSD,18,651590000000000,True,7500,8000,10500,800000000000000000000000000,0.82113378,16756627162709361382839279,16865455192853800928649892,678201062023343496271668,2997194492079258933054409,11793100922835257168971049,1912828971225901913958684,2060039478553788611797236,1000,67100312639716598817357827,173983276621668861742319531,84835785636942611417812396,123983276621668861742319531
1614988829,GUSD,Gemini dollar,2,652395080359397,False,0,0,0,800000000000000000000000000,0.79558233,661653812,667210386,384841309,135253725,0,522487742,531960538,0,31783254831349473463187818,79864304102385553802301980,0,39864304102385553802301980
1614988829,YFI,yearn.finance,18,20960453129878026000,True,4000,5500,11500,450000000000000000000000000,0.04869794,820933378765236108855,821958267317391292972,366204654323495720807,780955606780723321285,0,40718230188340467432,41002455306589752655,2000,309680159990149417582914,11085528962437625586691775,0,7759870273706337910684242
1614988829,BAT,Basic Attention Token,18,441787755387071,True,7000,7500,11000,450000000000000000000000000,0.0688439,2363921193689936879938452,2364850298779640303474211,1249869147700353746834782,2201180429906791473296098,9450613219881185863569,153200169321375065551577,154137756741299124043282,2000,737941303417680527530209,45373192120058907997637186,55286400292511537836179540,10761234484041235598346029
1614988829,MANA,Decentraland MANA,18,245551827743052,True,6000,6500,11000,450000000000000000000000000,0.16409141,8373793236294144276002663,8382265933944176744224735,356279347941589000027555,6999725665035905201448793,75491283680845738949188,1301534629030307437438507,1306821530187625269626920,3500,2800886490308406174291150,66649117040542139150833372,34325890954702026827409456,25654381928379497405583360
1614988829,UNI,Uniswap,18,18370380000000000,True,6000,6500,11000,450000000000000000000000000,0.04311462,1275934154077406669038749,1276107710920808223249888,-112371670657960224046534,1220922728743657233304372,1533265091599495689,55052836206385233150369,55183333365936652148908,2000,232719009785948412979292,11531952293378318619000790,113977414605081642318524,6726972171137352527750460
1614988829,WBTC,Wrapped BTC,8,31861713170000000000,True,7000,7500,11000,650000000000000000000000000,0.03712616,525285435129,525395252891,542776738293,505783599918,2439863623,17083513696,17144210882,2000,283793583120221948067436,35735195168135504111283436,44130797324098867061964471,4588156134508403289026749
1614988829,REN,Republic Token,18,685200000000000,True,5500,6000,11000,450000000000000000000000000,0.27823505,10030372009900388295411692,10043469299617898590390032,-536686033851776427417540,7239570944083553824978705,597822917617531072825638,2187364940926291846005083,2203593733735837499426995,2000,8007579336907828026259058,62008162839583675649550628,8093571092182087338483213,43405713987708572954685440
1614988829,BUSD,Binance USD,18,649524735202878,False,0,0,0,800000000000000000000000000,0.80235237,12096368156051578097407767,12291069951612599740416026,3136938456608037352109433,2390818377823053922203950,0,9581167670763817182039873,9900320334694921082659943,1000,50501367969248342748232448,0,0,69625125574116544833618840
1614988829,LINK,ChainLink Token,18,18264495358639832,True,7000,7500,11000,450000000000000000000000000,0.02834631,12241697430313819713704492,12242129112540166361100425,3511665859408992489637207,11894690358270369911994558,5262415092419234065287,341769183922785838737126,342095188517125836450773,2000,110492888132960828734102,36305384436974018204012457,34371586691621342901501574,4413769105881812742808720
1614988829,SUSD,Synth sUSD,18,654570000000000,False,0,0,0,800000000000000000000000000,0.74678759,8965572955203887842304027,9087935739743228073386946,7341138485180536348783144,2270194275656444664116400,0,6518378059358644650290416,6817723769012807582570693,2000,22515137224826657953955550,0,0,37512612233109894717301995
1614988829,DAI,Dai Stablecoin,18,650497886738620,True,7500,8000,10500,800000000000000000000000000,0.81036385,103326554369354019258990003,104346383176102928879565712,703360232555510368606078596,19594449636009181626178612,60636077941570966387865703,22951597758930318093069680,23863061414382152365253544,1000,72272123413994488273709761,134516640760958093930504985,104574616191174878487136097,84516640760958093930504985
1614988829,AAVE,Aave Token,18,243849722526260360,True,5000,6500,11000,450000000000000000000000000,-0.00000451,1927192431122553394364078,1927201133828747807258440,1460914937017783848198241,1927201133828747807258440,0,0,0,0,0,0,0,0
1614988829,XSUSHI,SushiBar,18,12394670805890358,True,2500,4500,11500,450000000000000000000000000,0.00006951,15187146419655444905003535,15187146445341643330068845,6511941461037902979435902,15186090637774229381930978,0,1055803699619095835505,1055807574225189474890,3500,488670442640316829,0,0,10814193108950970642160
1614988829,MKR,Maker,18,1354445330000000000,True,6000,6500,11000,450000000000000000000000000,0.33169266,15180150835604369148601,15182786926736586097177,1032373954854813114548,10145006196959511580649,2516104098041180399925,2508283717102176412184,2521074631470872180721,2000,11015950460962020292692766,103734252801347389118139013,31367753964049820875551385,51613976960943172382697309
