timestamp,Reserve Symbol,Name,decimals,price (ETH),usageAsCollateralEnabled,LTV,Liquidation Threshold,Liquidation Bonus,optimal Utilisation Rate,utilization Rate,total Liquidity,total AToken Supply,total Liquidity As Collateral,available Liquidity,total Principal Stable Debt,total ScaledVariable Debt,total Current Variable Debt,reserve Factor,liquidity Rate,stable Borrow Rate,average Stable Rate,variable Borrow Rate
1614729610,TUSD,TrueUSD,18,670020790174795,True,7500,8000,10500,800000000000000000000000000,0.84214799,16405115258491116924320365,16504953947276160287024651,569402743105617971446791,2589580305086981713935566,11872845236230523745815424,1885769098670621840103295,2029138968996672772479054,1000,77440813406212607177138217,252135777724286915330709735,84935668065786095735523103,202135777724286915330709735
1614729610,GUSD,Gemini dollar,2,670695516336727,False,0,0,0,800000000000000000000000000,0.73366025,678548408,683853802,385043340,180724411,0,494407729,503133098,0,27064782414036054695130941,76786398582924677661176343,0,36786398582924677661176343
1614729610,YFI,yearn.finance,18,22431438670000000000,True,4000,5500,11500,450000000000000000000000000,0.01859787,802764064225513958552,803786003744039235007,359579750540912461974,787834359290617165896,0,15841862914982267470,15951950462734284216,2000,49015832747369295493451,4410297867571089736892384,0,3087208507299762815824669
1614729610,BAT,Basic Attention Token,18,400320000000000,True,7000,7500,11000,450000000000000000000000000,0.07317114,2210700035884799924339162,2211610335784467290057435,1156429604456250960975083,2048940584810915371298985,8455283644672505881235,153200169321375065551577,154127231540830878700701,2000,810087580616488515086392,46337923859318983396380403,56312661888649356323980613,11436546701523288377466282
1614729610,MANA,Decentraland MANA,18,187270000000000,True,6000,6500,11000,450000000000000000000000000,0.01864027,6959745581472271485115284,6968114793944930071872758,648126829269963144772556,6830014022979988939909543,11880948852309085946636,125590337030708014406256,126094477603137764718520,3500,71083694388825685655882,34400710786880646347284264,31412439791721405575362074,3080497550816452443098984
1614729610,UNI,Uniswap,18,17014590589614470,True,6000,6500,11000,450000000000000000000000000,0.02751273,1242957470436689751931171,1243129085626849783437974,-124478638294667133299807,1208760313060258636222011,1533265091599495689,34287337281670405809395,34367269341564114009077,2000,95116081299351209739052,7372544141641873960910562,113977414605081642318524,4300650749291093143864496
1614729610,WBTC,Wrapped BTC,8,32483672400000000000,True,7000,7500,11000,650000000000000000000000000,0.03742825,516467147560,516574452884,527595924884,497136681953,2320163491,17030137179,17090021909,2000,282598686754053421666203,35781344033491885194424372,44561169716144759817703726,4625075226793508155539497
1614729610,REN,Republic Token,18,735380000000000,True,5500,6000,11000,450000000000000000000000000,0.25017318,11287341145199722111868080,11299658010655005285263560,-507076273604558999979092,8463551062136478905377678,627793795040382996210977,2190347838722626821093389,2205954363800411492348578,2000,6483559870315170943660101,55747709482128779476087726,8698436609567445093075353,39023396637490145633261409
1614729610,BUSD,Binance USD,18,674430923106700,False,0,0,0,800000000000000000000000000,0.81778104,11820653842047703375138070,12004021236645532247769388,3139938456608037352109433,2153947248425479943622454,0,9542764634136302379754054,9849609035894270770579703,1000,107043218854081224744477808,0,0,144872831298226218032993965
1614729610,LINK,ChainLink Token,18,19102450000000000,True,7000,7500,11000,450000000000000000000000000,0.02334255,14245506014034250673136746,14245914978356803377394324,4105673300148707882650224,13912979496948230282405649,7739581353841364879118,324818455313997662433547,325118142560576550900913,2000,81371198152160862982120,35192283460087673885497526,34540028891266201539549685,3634598422061371719848269
1614729610,SUSD,Synth sUSD,18,679775052438047,False,0,0,0,800000000000000000000000000,0.61429898,6501506236146823683556252,6607523489364056305487127,5197765911472615342550124,2507637523417399761694939,0,3930012058817892045968252,4099936940178179233277024,2000,15403363967763744817022393,0,0,31027572383047212078643035
