timestamp,Reserve Symbol,Name,decimals,price (ETH),usageAsCollateralEnabled,LTV,Liquidation Threshold,Liquidation Bonus,optimal Utilisation Rate,utilization Rate,total Liquidity,total AToken Supply,total Liquidity As Collateral,available Liquidity,total Principal Stable Debt,total ScaledVariable Debt,total Current Variable Debt,reserve Factor,liquidity Rate,stable Borrow Rate,average Stable Rate,variable Borrow Rate
1616025605,AmmUniRENWETH,Uniswap V2,18,71837687521932305,True,6000,7000,11500,450000000000000000000000000,0,11506979799682750739,11506979799682750739,0,11506979799682750739,0,0,0,1500,0,0,0,30000000000000000000000000
1616025605,MKR,Maker,18,1165500000000000000,True,6000,6500,11000,450000000000000000000000000,0.34658329,15156676551943193432729,15165798829804426243407,-1460889461748041280127,9903625619430677651923,2580717189920534472121,2663287960710845317132,2680292287651708616529,2000,12116155850769689072300266,107104627005310932606133815,32926782177100561144941769,53973238903717652824293671
1616025605,AmmUSDC,USD Coin,6,550884289146188,True,8000,8500,10500,800000000000000000000000000,0.47083716,2620863403991,2620897771664,2066868859295,1386863511012,0,1233904025118,1234034281573,1000,9976237803658070940623703,81771102683442187786843051,0,23542205366884375573686103
1616025605,USDC,USD Coin,6,550884289146188,True,8000,8500,10500,900000000000000000000000000,0.9437556,279323104055923,282244562962653,239007304049513,15710357998477,168715350939075,93355517940235,97256319964944,1000,146190751214588644633394639,355923761299446313796953836,94818591007545962147473692,305923761299446313796953836
1616025605,AmmUniLINKWETH,Uniswap V2,18,345243179953899256,True,6000,7000,11500,450000000000000000000000000,0,1904210019359244634,1904210019359244634,0,1904210019359244634,0,0,0,1500,0,0,0,30000000000000000000000000
1616025605,AmmUniDAIWETH,Uniswap V2,18,63251566695050320,True,6000,7000,11500,450000000000000000000000000,0,260000000000000000000,260000000000000000000,0,260000000000000000000,0,0,0,1000,0,0,0,30000000000000000000000000
1616025605,AmmUniDAIUSDC,Uniswap V2,18,1214341880626273464928,True,6000,7000,11500,450000000000000000000000000,0,9089043296401,9089043296401,0,9089043296401,0,0,0,1000,0,0,0,30000000000000000000000000
1616025605,AmmUniUSDCWETH,Uniswap V2,18,68717795429789335613751,True,6000,7000,11500,450000000000000000000000000,0,2318730415888535,2318730415888535,0,2318730415888535,0,0,0,1000,0,0,0,30000000000000000000000000
1616025605,AmmUniBATWETH,Uniswap V2,18,62275667425374441,True,6000,7000,11500,450000000000000000000000000,0,102433323210684111378,102433323210684111378,17803059569352409943,102433323210684111378,0,0,0,1500,0,0,0,30000000000000000000000000
1616025605,BAL,Balancer,18,548937642104251,True,5500,6000,11000,450000000000000000000000000,0.03156066,346808942519776551234252,347077320757347617205021,46720337789152106284693,335863423014293247342878,0,11142069718437562369985,11213903508438883837412,2000,129911506920937885438105,37179985047762039906366504,0,5025989533433427934456553
1616025605,AmmUniWBTCWETH,Uniswap V2,18,1295836399286167255491553,True,6000,7000,11500,450000000000000000000000000,0,106027952923234,106027952923234,0,106027952923234,0,0,0,1500,0,0,0,30000000000000000000000000
1616025605,SNX,Synthetix Network Token,18,10529130000000000,True,1500,4000,11000,800000000000000000000000000,0.40750539,528647635012169769686224,531456903501119742414072,163854497128788504578868,313220934455701681274891,0,212902606724313933540126,218198314167284665176854,3500,24448480051307229993590381,0,0,91596063442693013343693853
1616025605,WETH,WEthereum,18,1000000000000000000,True,8000,8250,10500,650000000000000000000000000,0.21920747,323477128782983516773985,324668900230371990001874,1325247562693182195810139,252568523741557621282659,778229018379299744869,70974494080329769369877,71316830461406431997614,1000,5525421570663687186770375,64163717452126354123205443,56582180813224442553068049,27330973961701083298564354
1616025605,WETH,WEthereum,18,1000000000000000000,True,8000,8250,10500,650000000000000000000000000,0.21920747,323477128782983516773985,324668900230371990001874,1325247562693182195810139,252568523741557621282659,778229018379299744869,70974494080329769369877,71316830461406431997614,1000,5525421570663687186770375,64163717452126354123205443,56582180813224442553068049,27330973961701083298564354
1616025605,AmmUniMKRWETH,Uniswap V2,18,2564663996142650684,True,6000,7000,11500,450000000000000000000000000,0,0,0,0,0,0,0,0,1500,0,0,0,30000000000000000000000000
1616025605,AmmUniUNIWETH,Uniswap V2,18,526650963854603605,True,6000,7000,11500,450000000000000000000000000,0,2500000000000000000,2500000000000000000,0,2500000000000000000,0,0,0,1500,0,0,0,30000000000000000000000000
1616025605,CRV,Curve DAO Token,18,1340779931615877,True,4000,5500,11500,450000000000000000000000000,0.11489627,8206891920847967792835090,8597050182516712428936823,6260397207329207004495219,7263950646159677009509867,0,1271829803768053417015550,1333317671875162782788332,0,3741662029016795378262555,64464898310612892647909235,0,24125428817429024853536464
1616025605,AmmUSDT,Tether USD,6,550950000000000,False,0,0,0,800000000000000000000000000,0.66610795,334504557704,334510494966,285000000000,111688410304,0,222812659029,222822088280,1000,19966846939240042823958891,86652847161988731538699215,0,33305694323977463077398430
1616025605,USDT,Tether USD,6,550950000000000,False,0,0,0,900000000000000000000000000,0.96422488,174638215298178,176186853159741,82456326937605,6247702933070,124342241014403,43024091268962,45337543674164,1000,159093073821840212795043250,477688003818604618131351606,94130204870278504953440390,427688003818604618131351606
1616025605,KNC,Kyber Network Crystal,18,1505230000000000,True,6000,6500,11000,650000000000000000000000000,0.55336348,1525834428643909591446732,1527855057489427544016206,18192878010833186516292,681493368252372678804827,527045555637812256562,837897064102274918776563,845621015640081579920629,2000,30222458348852200712237446,115223418449487348989424645,97969303009199949068146961,68178734759589879191539715
1616025605,AmmUniAAVEWETH,Uniswap V2,18,1046955632920706189,True,6000,7000,11500,450000000000000000000000000,0,6541523817483725859,6541523817483725859,0,6541523817483725859,0,0,0,500,0,0,0,30000000000000000000000000
1616025605,ZRX,0x Protocol Token,18,793791999617491,True,6000,6500,11000,450000000000000000000000000,0.00835925,2454336945713013463843783,2454427709041761990084431,233234322113731088242844,2433820515319543828005636,2185810382644422051012,18351896930218366595757,18397333202717684861338,2000,48023439702098648999472,31864074300444439514571344,56292511130286954616966464,1304852010311107660199940
1616025605,ENJ,Enjin Coin,18,1357000000000000,True,5500,6000,11000,450000000000000000000000000,0.00764979,14854284235674837225934837,14855060847699157154924703,2281873449632659821712922,14740651963042748292117973,91473460239340261523215,22841937198074974637434,22885992282102520957812,2000,14088984912147359228012,1710759293451196375290806,2560380677912676403343876,1197531505415837462703564
