timestamp,Reserve Symbol,Name,decimals,price (ETH),usageAsCollateralEnabled,LTV,Liquidation Threshold,Liquidation Bonus,optimal Utilisation Rate,utilization Rate,total Liquidity,total AToken Supply,total Liquidity As Collateral,available Liquidity,total Principal Stable Debt,total ScaledVariable Debt,total Current Variable Debt,reserve Factor,liquidity Rate,stable Borrow Rate,average Stable Rate,variable Borrow Rate
1615075212,TUSD,TrueUSD,18,602000000000000,True,7500,8000,10500,800000000000000000000000000,0.79175406,16782856929459269000674104,16896365538402239954410895,678491062023343496271668,3494961743847966234366087,11260513121939482057687411,1972244062355358976630354,2124878810320125778666113,1000,55336461378279087441479882,89830073747416357307319348,84658093281795811684719199,39660147494832714614638695
1615075212,GUSD,Gemini dollar,2,603110845742338,False,0,0,0,800000000000000000000000000,0.78148448,661550658,667160232,384841309,144559080,0,513247635,522605066,0,30679763893800714918958660,79166161347393182453901879,0,39166161347393182453901879
1615075212,YFI,yearn.finance,18,20433909546859887000,True,4000,5500,11500,450000000000000000000000000,0.44062684,812511125044526422568,813546602284148889483,365704654323495720807,454496912975549669123,0,356535480853027342713,359045567871369822300,2000,24239477511190941239028080,98075686498839392400294066,0,68652980549187574680205847
1615075212,BAT,Basic Attention Token,18,404610000000000,True,7000,7500,11000,450000000000000000000000000,0.0672804,2418843369365979132881609,2419779125354501536424815,1219869147700353746834782,2256102605582833726239255,9450613219881185863569,153200169321375065551577,154137756741299124043282,2000,708808557431421120273375,45024821768608854775820798,55286400292511537836179540,10517375238026198343074558
1615075212,MANA,Decentraland MANA,18,216560000000000,True,6000,6500,11000,450000000000000000000000000,0.16351719,8403199144499284219202663,8411746278588369983556664,356279347941589000027555,7029131573241045144648793,75491283680845738949188,1301534629030307437438507,1306821530187625269626920,3500,2782279888892500046682161,66522639057093023001831010,34325890954702026827409456,25565847339965116101281707
1615075212,UNI,Uniswap,18,17045447631018364,True,6000,6500,11000,450000000000000000000000000,0.13376868,1268257529525410306007059,1268432870766021362507190,-153706986614648552172797,1098604382545824514006351,1533265091599495689,169421095184312271750655,169827013917756630395770,2000,2230786673954654486897802,35703594894921252278445094,113977414605081642318524,20827097022037397162426304
1615075212,WBTC,Wrapped BTC,8,29290173910000000000,True,7000,7500,11000,650000000000000000000000000,0.03710069,534497350510,534607984630,553610984773,514667126972,2439863623,17411042224,17473055261,2000,281094744760957605823328,35731098640752463530329486,44130797324098867061964471,4584878912601970824263588
1615075212,REN,Republic Token,18,643750000000000,True,5500,6000,11000,450000000000000000000000000,0.26813899,10408038932323978720265881,10421424729935547156522720,-523102280190589936488300,7617237866507144249832894,597822917617531072825638,2187364940926291846005083,2203593733735837499426995,2000,7452278617759021407132120,59765038510914906209546510,8093571092182087338483213,41835526957640434346682558
1615075212,BUSD,Binance USD,18,602730000000000,False,0,0,0,800000000000000000000000000,0.81890688,12096568917233808097407767,12294118589944060510941218,3136938456608037352109433,2190605330718618814277847,0,9775272966729402181691901,10103582386401318466592233,1000,112041386022046696181069795,0,0,151396759068317174561811595
1615075212,LINK,ChainLink Token,18,17001710000000000,True,7000,7500,11000,450000000000000000000000000,0.05288537,11828410428632327077606735,11828850041752832318547087,3236518542600527458476059,11202860508961459159554978,50263947833774608638517,575087043385573817059523,575644062690375086771484,2000,443831949625382904439764,41758703525513606417564392,36293718522919977935999479,8231092467859524492295076
1615075212,SUSD,Synth sUSD,18,611900000000000,False,0,0,0,800000000000000000000000000,0.82944101,7474925854326533157856330,7598305178305332590151008,5856849325604238711957218,1274915734041994536625920,0,6044808570640272433458349,6323127343381922857161309,2000,134107671705476305241957205,0,0,201415354342044349534095695
1615075212,DAI,Dai Stablecoin,18,601400000000000,True,7500,8000,10500,800000000000000000000000000,0.7975409,106411181654064795207031792,107444437807793386680097659,705680895722218619999593916,21543911237242550548764965,57479274530979509303868117,27058505056056138523804278,28139562047388261332221021,1000,59238440584721022935704550,89976610476944410022631120,103138384064057326232793603,39953220953888820045262240
1615075212,AAVE,Aave Token,18,231119070000000000,True,5000,6500,11000,450000000000000000000000000,-0.00000455,1911120234225210886636772,1911128936931405299531134,1459149718823084599294649,1911128936931405299531134,0,0,0,0,0,0,0,0
