id,createdAtTimestamp,createdAtBlockNumber,token 0 (Name),token 0 (Symbol),token 1 (Name),token 1 (Symbol)
0x45187b597f55a9bd9ef218bd833a4ac102d8ed34,1612447603,11790225,1INCH Token,1INCH,SHAKE token by SpaceSwap v2,SHAKE
0x39fddd9ab42c93830860fec61890f03f20e23644,1612465910,11791617,Ethereum,ETH,Anyswap,ANY
0x4d5f08eccd3d9281632aa3fc6937e98441564544,1612597560,11801492,1INCH Token,1INCH,Opium Governance Token,OPIUM
0x9696d4999a25766719d0e80294f93bb62a5a3178,1612608774,11802334,Ethereum,ETH,TornadoCash,TORN
0x5637f7367832de73cea409482576d3b48b2a94c5,1612775100,11814871,Ethereum,ETH,ABYSS,ABYSS
0xedadb31099ca0609736852fa52b161965e504f3d,1612848293,11820323,Ethereum,ETH,Graph Token,GRT
0x22c6289db7e8eab6aa12c35a044410327c4d9f93,1612898392,11824137,Ethereum,ETH,ichi.farm,ICHI
0x1a33e47f47318e5879998493e9de89966370fcb7,1613012684,11832732,Wrapped BTC,WBTC,USD Coin,USDC
0x046c4736d9658bb43f9ad37646ea9074fca940f2,1613192849,11846352,Ethereum,ETH,AVINOC Token,AVINOC
0xcad46eff448e22802359488b5873f5886242e438,1613286034,11853350,Ethereum,ETH,0x Protocol Token,ZRX
0xd2afbb122d905acdee477d429593dbd67c324548,1613322319,11856054,ChainLink Token,LINK,Aave Token,AAVE
0x9cc0bf948954f90877624c09d2c5a28b0d40b2f7,1613339287,11857357,1INCH Token,1INCH,Rari Governance Token,RGT
0xc31e1360ef9a4b2a1859e14a11c8bdf653ca2cc9,1613456181,11866136,Ethereum,ETH,STAKE,STAKE
0xc1ce58b2b991ad4cfbdd8d12d3404d0f004b9c64,1613458148,11866290,Ethereum,ETH,Falcon,FNT
0x1321f07e20161b6bb9710639bf31f6227ff5f860,1613475849,11867617,Ethereum,ETH,Ampleforth,AMPL
0x713c344fe475789daa3e125fa140f9de54196d16,1613510428,11870232,Ethereum,ETH,Rarible,RARI
0xd471b6755eba924ad94dd9144ea50022010efccc,1613568709,11874646,1INCH Token,1INCH,VesperToken,VSP
0x97af52e747d36f79c01288160256c5cc5ba1b115,1613575463,11875134,Ethereum,ETH,VesperToken,VSP
0xe64f91911883ea26c146fb094fab5dcec14a0925,1613605880,11877428,Ethereum,ETH,SOAR.FI,SOAR
0x1dce26f543e591c27717e25294aebbf59ad9f3a5,1613648061,11880602,1INCH Token,1INCH,ichi.farm,ICHI
0x1f033a8aada2235333f1195fd1dcc4e5d52582c5,1613653146,11881004,Ethereum,ETH,PolkaBridge,PBR
0x3b3122ca015ec2dbd9d6b98f9fcde92f4f39196e,1613679809,11882937,PoolTogether,POOL,1INCH Token,1INCH
0x06e45c2c6055ba9174e66760343d395457be40be,1613741232,11887623,Phala,PHA,Tether USD,USDT
0x0f843adc4cd45f1c2951fad242a514adc26a7ba5,1613753960,11888580,Ethereum,ETH,PoolTogether,POOL
0x3d1a7a585c5e6ce429e8bd74b2f44db3b643462d,1613766458,11889504,Ethereum,ETH,MUSH,MUSH
0xcf701621b53362dfd4bbe0dae27f3963397de22d,1613853684,11896043,Ethereum,ETH,DAO Maker,DAO
0x8a0cc4e323143c22a470e0090e0d184cea54be37,1613885056,11898388,Ethereum,ETH,DefiPulse Index,DPI
0xad8c42021ba682c69ade56fd4b1a9cca1bcb413d,1614568206,11949839,Cartesi Token,CTSI,USD Coin,USDC
0xf95c165f5f8de58ccc064aa8a80f8a42d0a89cb0,1614585166,11951093,Lido DAO Token,LDO,Synth sETH,sETH
0xe221ad067e591fb78c5eae1466b4a5dd4c7a1cc7,1614585653,11951135,Ethereum,ETH,Synth sETH,sETH
0x7d6938d31ae0b7be45f65a18316e217c9d6185e6,1614656376,11956435,Neutrino USD,USDN,Tether USD,USDT
0x7a8117550e8ba78e65bd768be4f84cb8e51663ac,1614715797,11960921,Dai Stablecoin,DAI,Celsius,CEL
0x71c6e39a7945df102e9ef5d9f3534d3ca923d8f4,1614716880,11961007,Neutrino System Base Token,NSBT,Tether USD,USDT
0x70c34a9b4d7a5c16f902a5274f9fb7ac18908daf,1614811463,11968069,Ethereum,ETH,Warren,WRN
0xdc1534a2817bfccd9b6637fb184588e7842805f0,1614861257,11971812,Ethereum,ETH,Audius,AUDIO
0xbe5f092e7b6d6695cbe4d166ff5fb18b54c0fdff,1614956791,11979036,Opium USDT Protection v2/USDC,OPIUM_LP_34b7,USD Coin,USDC
0x05d7bc2a5ec390743edec5aa9f9fe35aa87efa43,1615077438,11988173,Dai Stablecoin,DAI,USD Coin,USDC
0x619ad6152e4a311c80a9eb1fbeb0c103d361389d,1615155187,11993997,Ethereum,ETH,BDPToken,BDP
0x4a6510845fa36499974f62908ce49c5c296cd1e5,1615224287,11999171,Ethereum,ETH,hoge.finance,HOGE
0xb2a26335f7215748f28001cf3c64dc5fadc9de43,1615251557,12001228,Ethereum,ETH,Bifrost,BFC
0x4912a84afa656cdbae9b173e22df2deca9954ce9,1615312324,12005760,Dai Stablecoin,DAI,DOVU,DOV
0x28e806c1c3a661ac85d62577cf5c0731cd6fb018,1615331258,12007194,Dai Stablecoin,DAI,Tapmydata,TAP
0x339f882e761cb568127a674b61a4a835e2b97975,1615367756,12009934,1INCH Token,1INCH,USDK,USDK
0x0304e6e1b383a01d4bb78486feeebfc8eb113d19,1615370455,12010137,Ethereum,ETH,Uniswap,UNI
0x59e55b704ebd1378f40b793aea88c5b1659509c8,1615373176,12010335,Wrapped BTC,WBTC,KBTC,KBTC
0xefa579e56923b876880c376280563b4d0232d2d1,1615376468,12010585,Decentraland MANA,MANA,Wrapped BTC,WBTC
0x4020819c2c96962460fd1ce0c1eba8a52747d4a5,1615466336,12017321,AMLT,AMLT,Tether USD,USDT
0x95cab00a5e2ccfa6c9eee1bef621454e64243388,1615726248,12036770,Dai Stablecoin,DAI,Alchemix,ALCX
0x57fbb3704609da720546898fcfbad910fcf49e25,1615927958,12051974,1INCH Token,1INCH,ARC Governance Token,ARCX
0x335d1e5cb5a8c94450722964313914d6f6e7b2a9,1615937801,12052726,Ethereum,ETH,QAZCRYPTO INDEX ,QAZ
0xf7c88430faebc9aae3b0c3f61b3898b7906054a5,1616179946,12070956,USD Coin,USDC,ARC Governance Token,ARCX
0xf15a6db8d536a2b8de10f48f62571905d414c3e1,1616181525,12071061,Tether USD,USDT,ARC Governance Token,ARCX
0x69b1272947cbd7877ddeeb01b9454837aa2501aa,1616274569,12078054,Ethereum,ETH,Basic Attention Token,BAT
0xb30116c66483fd87de3cbe14e7e0a764b632e5ca,1616404696,12087739,Ethereum,ETH,DEAPCOIN,DEP
0x9ef46d2e3c36edf16882c84388aa258c7277214d,1616500585,12094986,1INCH Token,1INCH,CRO,CRO
0xc1e81e7b8ebee5b9cd031428bd2c6a40c2d5518f,1616614055,12103464,Ethereum,ETH,Dragon,DRGN
0x9ac1359e4e70cfe77bb33fa659f809afefd7c64f,1616701470,12110069,2GT_token,2GT,Tether USD,USDT
0x402f35dd97b4ef0c361021b7ae6e4c2b41226345,1616856861,12121742,Ethereum,ETH,Theta Token,THETA
0x653a191f7b41319c4931f40c5b2e8b5c7bacc5b1,1616961574,12129690,Ethereum,ETH,Vortex DeFi,VTX
0x4307d723c1e312cff01f9267a348193546db70bf,1617152716,12144091,Ethereum,ETH,Tapmydata,TAP
0x1ecdc50b554ea2825197d2293c50a0fe147fafbd,1617325873,12157081,Ethereum,ETH,Crypto Social Network,CSN
0x896c7fd53235e0fac020685afe3839dfe147842a,1617336608,12157887,Ethereum,ETH,Autonio,NIOX
0xf96ab048f336cd183acba119df433fb0e3518e7e,1617415832,12163810,xINCH,xINCHa,Wrapped Ether,WETH
0xa4fe542948a214c6fe9cd609cde65f8dc08ffafb,1617544855,12173526,1INCH Token,1INCH,Spheroid,SPH
0x02261764105144d2e3b13d2cd45e131852c4c0ca,1617563521,12174981,Ethereum,ETH,Unlock Discount Token,UDT
0x59cfc7a91d6adf866da42a16385006c0105aa06e,1617570773,12175534,Ethereum,ETH,REVV,REVV
0x4f339ff82ecf7efb987534df98602d0fafa4680f,1617664361,12182585,SpiderDAO Token,SPDR,Tether USD,USDT
