timestamp,Reserve Symbol,Name,decimals,price (ETH),usageAsCollateralEnabled,LTV,Liquidation Threshold,Liquidation Bonus,optimal Utilisation Rate,utilization Rate,total Liquidity,total AToken Supply,total Liquidity As Collateral,available Liquidity,total Principal Stable Debt,total ScaledVariable Debt,total Current Variable Debt,reserve Factor,liquidity Rate,stable Borrow Rate,average Stable Rate,variable Borrow Rate
1614297630,TUSD,TrueUSD,18,674390000000000,True,7500,8000,10500,800000000000000000000000000,0.85862064,6677174140880080076560031,6770170602325996519976501,306513704329449357682018,944014581025963722122427,3761325353116787990017963,1912061945045472085162123,2054030071472381278556312,1000,120483163079522871841458793,317738893282071706195125034,94255104522933088797650583,267738893282071706195125034
1614297630,GUSD,Gemini dollar,2,676898559547696,False,0,0,0,800000000000000000000000000,0.74597445,645855604,650715655,359922883,164063823,0,478624854,486655230,0,27965703467786624037885671,77393651511845312450072059,0,37393651511845312450072059
1614297630,YFI,yearn.finance,18,21430000000000000000,True,4000,5500,11500,450000000000000000000000000,0.02878465,803301651380059104673,804320319668513725883,346490962605703685131,780178892468496553333,0,23976227915735586052,24141950300415891080,2000,112115182851713315012495,6670093846812281659480193,0,4669065692768597161636136
1614297630,BAT,Basic Attention Token,18,327770000000000,True,7000,7500,11000,450000000000000000000000000,0.10068419,2118035404464195852423790,2118887060548803589103214,1143812855349715225241761,1904782715857257498837725,8455283644672505881235,204383679400058080278093,205504784309804659368840,2000,1399453022998589421930716,52447393307650863861646825,56312661888649356323980613,15713175315355604703152778
1614297630,MANA,Decentraland MANA,18,177900381844568,True,6000,6500,11000,450000000000000000000000000,0.01392077,6805050572681969841636136,6813411614634749472661798,643523198403600707083761,6710319014189687296430395,11880948852309085946636,90730271152887225374158,91092544395281664351324,3500,56058426651318498251963,33358808815466519996010905,31412439791721405575362074,2351166170826563997207633
1614297630,UNI,Uniswap,18,16030000000000000,True,6000,6500,11000,450000000000000000000000000,0.03918152,1149674250977461211389103,1149840694604842944301350,-98086950522154849595433,1104628255825312870836331,1533265091599495689,45108742021678366399296,45210923749996028868447,2000,192399012796764192498936,10485511536246596549316614,113977414605081642318524,6116548396143847987101358
1614297630,WBTC,Wrapped BTC,8,31859664927285525000,True,7000,7500,11000,650000000000000000000000000,0.04472635,481336019288,481438218999,453952073817,459807881391,4498812506,17056981550,17115807055,2000,449532001592760234952024,36907400331773357500573938,39106240883159840669296832,5525920265418686000459151
1614297630,REN,Republic Token,18,724000000000000,True,5500,6000,11000,450000000000000000000000000,0.27944801,11087628317258138907869651,11098454035867905314937755,-717630993009602896834201,7989212551950332942670054,898915829061167522128836,2194573568854245064199488,2208720453885711607084247,2000,7491740370449959911421299,62240969311128244310918475,8530990378071569104524256,43568678517789771017642933
1614297630,BUSD,Binance USD,18,679114426847139,False,0,0,0,800000000000000000000000000,0.78665921,12638875432351695220914757,12809949590963826787835981,2542974261340417352109433,2696387649135678183450528,0,9809806246407973310094464,10113626615729999823314119,1000,28073729820581159787313556,0,0,39492425307885983536382495
1614297630,LINK,ChainLink Token,18,16759520423187393,True,7000,7500,11000,450000000000000000000000000,0.02825521,12282112280816607614280405,12282480605292398164059310,3086941486139228821979092,11935078568119644611843879,6735643710328867714032,340292340099677629054052,340587485188534259692507,2000,112696745842142036754831,36284048282827402833740862,34446481235790246967474597,4398833797979181983618604
1614297630,SUSD,Synth sUSD,18,683835000000000,False,0,0,0,800000000000000000000000000,0.7564467,5510660169893428383037831,5614640520089353806015039,3767883289097299017923696,1342139427281199044596557,0,4097405258880351471676785,4272531900712398726872615,2000,23167094920791180406643102,0,0,38051851893823101752598798
1614297630,DAI,Dai Stablecoin,18,675465330152918,True,7500,8000,10500,800000000000000000000000000,0.81738996,94429741329080691496489973,95265132240754886719384677,693971171296370527660375931,17243818477381660227552502,53742251507446537780063073,23239407224770120074369204,24092752167219141498521808,1000,76332894162512923624060385,160203651190622045696937754,100630435105364417299726889,110203651190622045696937754
1614297630,AAVE,Aave Token,18,232192500000000000,True,5000,6500,11000,450000000000000000000000000,-0.0000045,1880686416263016734841559,1880694886460753879669540,1432309859926324894413538,1880694886460753879669540,0,0,0,0,0,0,0,0
1614297630,XSUSHI,SushiBar,18,10988365322536772,True,2500,4500,11500,450000000000000000000000000,0.00057549,13267364462176568576166024,13267364477536483390334886,7318037365518549975966524,13259729217352769440026301,0,7635244083263139518670,7635254030108081728783,3500,33487077345131689534,0,0,89520955177706584508907
1614297630,MKR,Maker,18,1374000000000000000,True,6000,6500,11000,450000000000000000000000000,0.00511178,14146065089945588094156,14147069801146189380808,151308594830240882734,14073753433299134329801,78948406629887,72877324042800126297,73211443701859739790,2000,3332943410969529129727,31150015743839262216117438,34842943181351304564834036,805011020687483551282207
