timestamp,Reserve Symbol,Name,decimals,price (ETH),usageAsCollateralEnabled,LTV,Liquidation Threshold,Liquidation Bonus,optimal Utilisation Rate,utilization Rate,total Liquidity,total AToken Supply,total Liquidity As Collateral,available Liquidity,total Principal Stable Debt,total ScaledVariable Debt,total Current Variable Debt,reserve Factor,liquidity Rate,stable Borrow Rate,average Stable Rate,variable Borrow Rate
1613433617,TUSD,TrueUSD,18,562400000000000,True,7500,8000,10500,800000000000000000000000000,0.92372223,5853976759835484071898668,5920767485411102111617535,-855507781615711356866484,446528254912605508944894,3698506435972107096947475,1660645704159564029478119,1766854324091951852853573,1000,191886257513910368551216696,558230662667158503371547994,97879419222100998069020663,508230662667158503371547994
1613433617,GUSD,Gemini dollar,2,562572188909915,False,0,0,0,800000000000000000000000000,0.89770526,438454114,441861400,161591321,44851547,0,391818992,396964196,0,478424271506940881034854655,572473155584891896210820985,0,532473155584891896210820985
1613433617,YFI,yearn.finance,18,22784254000000000000,True,4000,5500,11500,450000000000000000000000000,0.04136467,715485865153911208504,716478975642462267568,276118403208148276332,685890027597549673433,0,30384283142551870324,30588660225920009434,2000,226837599468982857665787,9487619323318128719026358,0,6641333526322690103318451
1613433617,BAT,Basic Attention Token,18,303620000000000,True,7000,7500,11000,450000000000000000000000000,0.09727864,2115083532020400567748373,2115830880041974387744196,928329147890545581255087,1909331068212696653567606,12948163130581096147366,192449143856090781471010,193482391896619769238073,2000,1366980078515655970680756,51682304493496587631681130,52391078875687385714532751,15177613145447611342176791
1613433617,MANA,Decentraland MANA,18,169263955284072,True,6000,6500,11000,450000000000000000000000000,0.24723512,4750908280339117256388932,4759090384132369199745221,555552095205581112782634,3576316871880697223905301,11876825142260572163200,1166423978284196127522911,1170785242034227534285441,3500,6232679816045091328498224,85224850606675135815496559,31412505862497491526869259,38657395424672595070847591
1613433617,UNI,Uniswap,18,11435000000000000,True,6000,6500,11000,450000000000000000000000000,0.12160638,1142265108857544177600864,1142406030937556718407883,-135825962232395527742088,1003358377165122375666251,1533265091599495689,138772354908020854298626,139045800001683773065060,2000,1843560582865815086549861,32457275565061079381607970,113977414605081642318524,18933410746285629639271316
1613433617,WBTC,Wrapped BTC,8,26966902950000000000,True,7000,7500,11000,650000000000000000000000000,0.04677623,487208065297,487298910616,382581573063,464418306698,5775298427,17037883246,17093692968,2000,544322058320229858756954,37220319382009174633293015,40310276719073014752801102,5776255505607339706634412
1613433617,REN,Republic Token,18,507550000000000,True,5500,6000,11000,450000000000000000000000000,0.39865672,7690601027043781049759803,7699021721560927873440581,-2164824896463362953990068,4624691172612152170449762,1067923583264362147860979,1994312495624875224707297,2000303205108842689972023,2000,14227324958888031581288405,88720102751592934277835873,11571277842703058938923875,62104071926115053994485111
1613433617,BUSD,Binance USD,18,558717661972398,False,0,0,0,800000000000000000000000000,0.84858342,9771955999149047808281897,9897241954283130154137478,1321222529718676824700442,1479636124210604171999733,0,8203923566418144666679420,8417660090513665682094948,1000,225063453003299561269603475,0,0,293928872389151393486829650
1613433617,LINK,ChainLink Token,18,18410000000000000,True,7000,7500,11000,450000000000000000000000000,0.01628668,11487597882140379850182886,11487909336878718082979535,3113637430491574355873419,11300503036952059653311181,8537370331981111358893,178660090487015399309403,178794754003345283742458,2000,51636909708419521809062,33623796427228940899164259,33727241490215820990946102,2536657499060258629414982
1613433617,SUSD,Synth sUSD,18,563320000000000,False,0,0,0,800000000000000000000000000,0.87739738,5693811218032760965616124,5782236327037327957764032,2645503449975500791666234,698076161894106487557691,0,4889742438569874629122850,5084178345503309619122165,2000,307281195996513060628790620,0,0,436796945334507540478963590
1613433617,DAI,Dai Stablecoin,18,560000000287303,True,7500,8000,10500,800000000000000000000000000,0.90087082,81991106474101707172113856,82587484466096895472554183,672822553176475205324550894,8127750561759080971186031,52463906569191734764854217,21236500051133936132266299,21907699870772177907619344,1000,162979640960594331263058582,470884288999512961604453303,108983095594651017498128701,420884288999512961604453303
